Intitulé du poste,Les Études,Spécialités,Première générale,Première Technologique
"Traducteur-interprète /
 traductrice-interprète","Les études  Après le bac5 ans pour obtenir un master ou diplôme d'école spécialisée (Esit, Isit, Inalco).    bac + 5    Master mention traduction et interprétation     Traducteur",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Consultant / consultante
 en informatique décisionnelle","Les études  Après le bacBac + 5 : master MIAGE (méthodes informatiques appliquées à la gestion des entreprises) ou spécialisé en informatique décisionnelle, ou diplôme d'ingénieur en informatique avec une spécialisation en informatique décisionnelle, outils informatiques dédiés aux solutions décisionnelles...    bac + 6    Mastère spé. Expert en sciences des données (INSA Rouen)    bac + 5    Diplôme d'ingénieur de l'École nationale supérieure Mines-Télécom Lille Douai     Diplôme d'ingénieur de l'École supérieure d'ingénieurs de Paris Est (EPISEN exEsipe) Créteil de l'université Paris-Est Créteil Val-de-Marne spécialité systèmes d'information     Diplôme d'ingénieur de l'Institut national des sciences appliquées de Rennes spécialité mathématiques appliquées     Diplôme d'ingénieur de l'Institut supérieur d'informatique, de modélisation et de leurs applications de l'institut national polytechnique Clermont Auvergne     Diplôme d'ingénieur de l'université de technologie de Compiègne spécialité informatique     Master mention méthodes informatiques appliquées à la gestion des entreprises",Aucune spécialité indispensable,Mathématiques,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Prototypiste en matériaux souples,"Les études  Durée des étudesAprès la 3e3 ans pour préparer le bac professionnel métiers de la mode-vêtements ; métiers du cuir, options chaussure ; maroquinerie.Après le bac2 ans pour préparer le BTS métiers de la mode-vêtements ; métiers de la mode-chaussure et maroquinerie.    bac ou équivalent    Bac pro Métiers de la couture et de la confection     Bac pro Métiers du cuir option chaussures     Bac pro Métiers du cuir option maroquinerie    bac + 2    BTS métiers de la mode chaussure et maroquinerie     BTS métiers de la mode vêtements",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Ingénieur forestier / ingénieure
 forestière","Les études  Après le bac3 ans (après un bac + 2) pour préparer le diplôme d'ingénieur forestier à l'École nationale du génie rural, des eaux et forêts.    bac + 5    Diplôme d'ingénieur de l'École d'ingénieurs de Purpan     Diplôme d'ingénieur de l'École nationale supérieure des sciences agronomiques, de l'alimentation et de l'environnement (Institut Agro Dijon) de l'Institut national d'enseignement supérieur pour l'agri spécialité agronomie     Diplôme d'ingénieur de l'École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine     Diplôme d'ingénieur de l'Institut des sciences et industries du vivant et de l'environnement (AgroParisTech)     Master mention agrosciences, environnement, territoires, paysage, forêt     Master mention biodiversité, écologie et évolution",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Technicien / technicienne qualité,"Les études  Après le bac2 ans pour préparer le BTS pilotage de procédés (PP) pour l'industrie des papiers cartons ; bioqualité ; études de réalisation d'un projet de communication (ERPC) ou 3 ans pour préparer le BUT qualité, logistique industrielle et organisation ou une licence professionnelle spécialisée en qualité.    bac + 3    Bachelor en sciences et ingénierie - industrie des transports (ELISA Aerospace)     BUT qualité, logistique industrielle et organisation parcours management de la transformation digitale     BUT qualité, logistique industrielle et organisation parcours qualité et management intégré     BUT science et génie des matériaux parcours métiers de la caractérisation et de l'expertise des matériaux et des produits     Licence pro mention analyse, qualité et contrôle des matériaux produits     Licence pro mention chimie analytique, contrôle, qualité, environnement     Licence pro mention métiers de l'industrie : gestion de la production industrielle     Licence pro mention métiers de l'instrumentation, de la mesure et du contrôle qualité     Licence pro mention métiers de la qualité     Licence pro mention qualité, hygiène, sécurité, santé, environnement    bac + 2    BTSA qualité, alimentation, innovation et maîtrise sanitaire option aliments et processus technologiques     BTSA qualité, alimentation, innovation et maîtrise sanitaire option produits laitiers     BTS bioqualité     BTS Études de réalisation d'un projet de communication option B études de réalisation de produits imprimés     BTS Innovation textile option A structures     BTS Innovation textile option B traitements     BTS motorisations toutes énergies     BTS Pilotage de procédés     DEUST Production, contrôles et qualité des produits de santé",Aucune spécialité indispensable,Arts,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Chargé /chargée de recherche
 en recrutement",Les études  Après le bacLes profils sont assez variés pour ce poste qui est souvent accessible pour les débutants après un bac + 5 (master en ressources humaines...).    bac + 5    Master mention communication des organisations     Master mention économie du travail et des ressources humaines     Master mention gestion des ressources humaines,Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Conseiller / conseillère
 en génétique","Les études  Après le bac5 ans pour obtenir un master biologie-santé, conseil génétique et médecine préventive.    bac + 5    Master mention biologie-santé",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Administrateur / administratrice
 judiciaire","Les études  Après le bac4 ans pour obtenir un M1 en droit, sciences économiques, comptabilité-gestion ; 5 ans pour le DSCG (diplôme supérieur de comptabilité et gestion) ou un diplôme d'une école de commerce. Puis, il faut réussir un examen d'accès au stage professionnel, l'effectuer et passer un examen final d'aptitude aux fonctions d'administrateur judiciaire.",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Conducteur / conductrice de machine
 à imprimer","Les études  Après la 3e3 ans pour préparer le bac professionnel réalisation de produits imprimés et plurimédia (RPIP) ; façonnage de produits imprimés.Après le bac2 ans pour le BTS études de réalisation d'un projet de communication (ERPC), option B études et réalisation de produits imprimés.    bac ou équivalent    Bac pro Façonnage de produits imprimés, routage     Bac pro Réalisation de produits imprimés et plurimédia option B productions imprimées    bac + 2    BTS Études de réalisation d'un projet de communication option B études de réalisation de produits imprimés",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Chef / cheffe de mission humanitaire,"Les études  Après le bac4 à 5 ans pour préparer les formations de coordinateur de projet de solidarité internationale ou de manager de projets internationaux dans des écoles spécialisées comme l'Ifaid, Bioforce ou l'ESCD 3A, ou le diplôme d'ingénieur de l'Istom. Les ONG recrutent des professionnels (ingénieurs, médecins, chargés de logistique, paramédicaux...) avec de l'expérience, formés ensuite à la coordination de mission.    bac + 5    Coordinateur de programme humanitaire     Manager de la solidarité internationale et de l'action sociale",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Salesman,"Les études  Après le bacBac + 5 spécialisé en finance de marché dans une grande école de commerce ou d'ingénieurs, ou à l'université.    bac + 5    Diplôme d'ingénieur de l'École nationale de la statistique et de l'administration économique du Groupe des écoles nationales d'économie et statistique     Diplôme d'ingénieur de l'École supérieure d'ingénierie Léonard de Vinci     Diplôme d'ingénieur de Télécom SudParis de l'Institut Mines-Télécom     Master mention finance     Master mention monnaie, banque, finance, assurance     Diplôme du programme grande école de Brest Business School     Diplôme du programme grande école de l'emlyon     Diplôme du programme grande école de l'IPAG BS     Diplôme du programme grande école de l'ISG Paris",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Designer d'interaction,"Les études  Après le bacDu bac + 3 (DNA design ; licence pro en design numérique, DN MADE mention numérique ou innovation sociale) jusqu'au bac + 5 (diplôme de l'Ensad spécialisation design graphique / multimédia ; diplôme de design de l'École de design Nantes Atlantique ; DNSEP design ; DNSAP ; masters design et développement des objets, médias et espaces numériques ; design, médias, technologie : arts & médias numériques).    bac + 3    BUT métiers du multimédia et de l'internet parcours stratégie de communication numérique et design d'expérience     DNA option design     DN MADE mention graphisme     DN MADE mention innovation sociale     DN MADE mention numérique    bac + 5    DNSEP option design     Master mention création numérique     Master mention design     Diplôme de design de l'École de design Nantes Atlantique (espace, graphisme, interactivité, produit)     Diplôme en Interaction Design du Strate - École de design     Diplôme national supérieur d'arts plastiques     Diplôme national supérieur des arts décoratifs (ENSAD)     Manager de l'innovation numérique",Aucune spécialité indispensable,Arts,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Assistant / assistante
 en architecture","Les études  Après la 3e3 ans pour préparer le bac pro technicien d'études du bâtiment option B : assistant en architecture.Après le bac2 ans pour préparer un BTS (bâtiment ; étude et réalisation d'agencement) ; 3 ans pour le BUT génie civil-construction durable parcours bureaux d'études conception (notamment), ou  une licence professionnelle.    bac + 3    Licence pro mention métiers de l'aménagement du territoire et de l'urbanisme     Licence pro mention métiers du BTP : bâtiment et construction     Diplôme d'études en architecture    bac ou équivalent    Bac pro Technicien d'études du bâtiment option B assistant en architecture    bac + 2    BTS Bâtiment",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Déclarant / déclarante en douane,"Les études  Après le bacDe bac + 2 (BTS gestion des transports et logistiques associée ou commerce international ; Titre professionnel d'opérateur de transports multimodaux et internationaux de l'Institut national des transports internationaux et des ports-ITIP du Conservatoire national des arts et métiers-CNAM) à bac + 3 (BUT management de la logistique et des transports ; diplôme d'agent supérieur en transports maritimes, portuaires et activités douanières du Centre privé de formation professionnelle de l'union des usagers du port de Rouen (CPFP) ; formation professionnelle de déclarant en douane et conseil de l'Institut supérieur du transport et de la logistique internationale (Isteli), dépendant de l'Aftral.    bac + 3    Agent supérieur en transports maritimes, portuaires et activités douanières     Déclarant en douane et conseil (DDC)    bac + 2    BTS Commerce international     BTS gestion des transports et logistique associée",Aucune spécialité indispensable,Arts,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Aide-soignant / aide-soignante,"Les études  Après la 3e1 an pour préparer le DE d'aide-soignant, obligatoire pour exercer. Accès sur examen sans condition de diplôme, à partir de 17 ans au minimum. Le bac et certains diplômes professionnels donnent lieu à des dispenses d'épreuves d'admissibilité (CAP accompagnant éducatif petite enfance, par exemple).    bac ou équivalent    Diplôme d'Etat d'aide-soignant",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Concepteur / conceptrice multimédia,"Les études  Après le bac2 ans pour obtenir le BTS design graphique, option communication et médias numériques ; 3 ans pour le BUT métiers du multimédia et de l'Internet, une licence professionnelle  ou le DN MADE mention numérique ; 5 ans pour un master ou un diplôme d'ingénieur en conception multimédia.    bac + 3    BUT métiers du multimédia et de l'internet parcours création numérique     BUT métiers du multimédia et de l'internet parcours stratégie de communication numérique et design d'expérience     DN MADE mention numérique     Licence pro mention métiers de l'informatique : applications web     Licence pro mention métiers du jeu vidéo     Licence pro mention métiers du numérique : conception, rédaction et réalisation web     TP concepteur designer UI    bac + 2    DEUST bureautique et communication multimédia     DEUST technicien des médias interactifs et communicants     DEUST Webmaster et métiers de l'internet    bac + 5    Diplôme d'ingénieur de l'École nationale supérieure des sciences appliquées et de technologie de Lannion de l'université de Rennes spécialité informatique et technologies de l'information en partenariat avec l'ITII Bretagne     Diplôme d'ingénieur de l'École polytechnique universitaire de l'université Grenoble Alpes spécialité informatique     Diplôme d'ingénieur de l'École supérieure d'ingénieurs Paris-Est de l'Université Gustave Eiffel spécialité multimédia et technologies de l'information     Diplôme d'ingénieur du CNAM spécialité informatique et multimédia     Diplôme d'ingénieur du CNAM spécialité informatique et multimédia en convention avec l'université de Toulon     Master mention audiovisuel, médias interactifs numériques, jeux     Master mention création numérique",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Coffreur-boiseur /
 coffreuse-boiseuse",Les études  Après la 3e2 ans pour préparer le CAP constructeur d'ouvrages en béton armé ; 3 ans pour le bac professionnel technicien du bâtiment : organisation et réalisation du gros oeuvre. On note aussi le brevet professionnel (BP) maçon.    CAP ou équivalent    CAP Constructeur d'ouvrages en béton armé     TP coffreur bancheur    bac ou équivalent    Bac pro Technicien du bâtiment : organisation et réalisation du gros oeuvre     BP Maçon     TP Chef d'équipe gros oeuvre,Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Conducteur / conductrice de machine
 onduleuse","Les études  Après la 3e2 ans pour préparer le CAP conducteur d'installations de production. 3 ans pour préparer le bac professionnel pilotage de ligne de production (PLP) ; procédés de la chimie, de l'eau et des papiers cartons (PCEPC) ; voire un autre bac professionnel dans le domaine industriel complété par un CQP (certificat de qualification professionnelle) du secteur.Après le bac2 ans pour obtenir le BTS pilotage de procédés (PP).    CAP ou équivalent    CAP Conducteur d'installations de production    bac ou équivalent    Bac pro Pilote de ligne de production     Bac pro Procédés de la chimie, de l'eau et des papiers-cartons    bac + 2    BTS Pilotage de procédés",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Paléontologue,Les études  Après le bac8 ans pour obtenir un doctorat en paléontologie.,Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Chef / cheffe de projet multimédia,"Les études  Après le bac5 ans pour obtenir un diplôme d'école spécialisée dans le multimédia, un diplôme d'ingénieur en ingénierie multimédia ou un master spécialisé dans la conception et le management de projets multimédias.    bac + 5    Diplôme d'ingénieur de l'École nationale supérieure des sciences appliquées et de technologie de Lannion de l'université de Rennes spécialité informatique et technologies de l'information en partenariat avec l'ITII Bretagne     Diplôme d'ingénieur de l'École polytechnique universitaire de l'université Grenoble Alpes spécialité informatique     Diplôme d'ingénieur de l'École supérieure d'ingénieurs Paris-Est de l'Université Gustave Eiffel spécialité multimédia et technologies de l'information     Diplôme d'ingénieur de l'Institut national des sciences appliquées Hauts-de-France spécialité multimédia     Diplôme d'ingénieur du CNAM spécialité informatique et multimédia     Diplôme d'ingénieur du CNAM spécialité informatique et multimédia en convention avec l'université de Toulon     Master mention audiovisuel, médias interactifs numériques, jeux     Master mention création numérique     Manager de l'innovation numérique     Manager entrepreneurial de projet numérique et stratégie digitale",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Monteur-vendeur / monteuse-vendeuse
 en optique-lunetterie",Les études  Après la 3e3 ans pour préparer le bac professionnel optique-lunetterie.    bac ou équivalent    Bac pro Optique lunetterie,Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Vendeur / vendeuse conseil caviste,"Les études  Après la 3e1 an pour préparer le CQP (certificat de qualification professionnelle) vendeur conseil caviste.3 ans pour préparer le bac professionnel technicien conseil vente en alimentation, option vins et spiritueuxAprès le bac2 ans pour préparer le BTS agricole technico-commercial, option vins bières et spiritueux    bac ou équivalent    Bac pro technicien conseil vente en alimentation (produits alimentaires et boissons)     Caviste conseiller commercial    bac + 2    BTSA technico-commercial option vins, bières et spiritueux     BTSA viticulture-oenologie",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Ingénieur aromaticien / ingénieure
 aromaticienne","Les études  Après le bac5 ans pour préparer un master de chimie ou de sciences et technologies spécialisé dans les arômes ou l'analyse sensorielle ; ou un diplôme d'ingénieur en chimie ou en agroalimentaire.    bac + 5    Diplôme d'ingénieur de l'École d'ingénieurs de l'université de Caen spécialité agroalimentaire     Diplôme d'ingénieur de l'École nationale supérieure d'agronomie et des industries alimentaires de l'université de Lorraine spécialité production agroalimentaire     Diplôme d'ingénieur de l'École nationale vétérinaire, agroalimentaire et de l'alimentation, Nantes-Atlantique     Diplôme d'ingénieur de l'École polytechnique universitaire de l'université Sorbonne Université spécialité agroalimentaire     Diplôme d'ingénieur de l'École polytechnique universitaire de Lille de l'Université de Lille spécialité agroalimentaire     Diplôme d'ingénieur de l'École supérieure d'ingénieurs Réunion Océan Indien de l'université de la Réunion spécialité agroalimentaire     Diplôme d'ingénieur de l'Institut des sciences et industries du vivant et de l'environnement (AgroParisTech)     Diplôme d'ingénieur de l'Institut national supérieur des sciences agronomiques, agroalimentaires, horticoles et du paysage spécialité agroalimentaire en partenariat avec l'IFRIA Bretagne     Master mention chimie et sciences du vivant",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Directeur / directrice
 de la photographie","Les études  Après le bac2 ans pour obtenir le BTS métiers de l'audiovisuel, option métiers de l'image ou un diplôme d'écoles en audiovisuel ; 5 ans pour un master (en arts et techniques de l'image et du son, en audiovisuel et multimédia, ou en cinéma et audiovisuel), le diplôme de la Fémis spécialisation image ou le diplôme section cinéma ou photographie de l'École nationale supérieure Louis Lumière.    bac + 6    Diplôme de l'École nationale supérieure des métiers de l'image et du son (FEMIS) spécialité image    bac + 2    BTS Métiers de l'audiovisuel option métiers de l'image    bac + 5    Master mention cinéma et audiovisuel     Diplôme de l'École nationale supérieure Louis-Lumière spécialité cinéma     Diplôme de l'École nationale supérieure Louis-Lumière spécialité photographie",Aucune spécialité indispensable,Arts,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Bactériologiste,"Les études  Après le bacDe bac + 5 (master ou diplôme d'ingénieur spécialisé en biologie cellulaire et moléculaire, physiologie, biologie animale, microbiologie...) à bac + 8 (doctorat), incontournable pour devenir chercheur.",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
"Officier marinier / officière
 marinière","Les études  Après la 3eLes futurs officiers mariniers doivent réussir un concours (avec le bac au minimum) et des tests, avant de suivre une formation de 16 semaines à l'École de maistrance de Brest, puis quelques mois en école de spécialité. Certains diplômes professionnels de niveau bac ou bac + 2 (en mécanique et maintenance navale, électronique, aéronautique...) sont particulièrement adaptés pour accéder à ce métier.    bac + 1    MC (futur CS) Mécatronique navale    bac ou équivalent    Bac pro Aéronautique option avionique     Bac pro Aéronautique option structure     Bac pro Cuisine     Bac pro cybersécurité, informatique et réseaux, électronique     Bac pro Électromécanicien marine     Bac pro maintenance nautique     Bac pro Métiers de l'électricité et de ses environnements connectés     Formation des officiers mariniers    bac + 2    BTS aéronautique     BTS Contrôle industriel et régulation automatique     BTS Électrotechnique     BTS maritime maintenance des systèmes électro-navals     BTS mécatronique navale",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Chef / cheffe de produit touristique,"Les études  Après le bac5 ans pour préparer un master, un diplôme d'école de commerce ou un diplôme d'école spécialisée en tourisme. La connaissance d'un pays ou d'une zone est un plus.    bac + 5    Master mention études européennes et internationales     Master mention marketing, vente     Master mention tourisme     Diplôme du programme grande école de l'ISC Paris     Diplôme du programme grande école de l'ISTEC     Diplôme du programme grande école de Rennes SB",Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Maître / maîtresse d'hôtel,"Les études  Après la 3e3 ans pour préparer le bac professionnel commercialisation et services en restauration ou le bac technologique siences et technologies de l'hôtellerie et de la restauration (STHR), mieux adapté pour une poursuite d'études en BTS.Après le bac2 ans pour obtenir le BTS management en hôtellerie-restauration, option management d'unité de restauration; éventuellement complété par la licence professionnelle métiers des arts culinaires et des arts de la table (en 1 an).    bac + 3    Licence pro mention métiers des arts culinaires et des arts de la table    bac ou équivalent    Bac pro Commercialisation et services en restauration     Bac techno STHR Sciences et technologies de l'hôtellerie et de la restauration     BP arts du service et commercialisation en restauration    bac + 2    BTS Management en hôtellerie restauration option A management d'unité de restauration",Aucune spécialité indispensable,Arts,STHR Sciences et technologies de l'hôtellerie et de la restauration
Ingénieur / ingénieure en photonique,"Les études  Durée des étudesAprès le bac5 ans pour obtenir un master en optique, image, vision, en physique, en électronique ou un diplôme d'ingénieur spécialisé en optronique, photonique, électronique, télécommunications.    bac + 5    Diplôme d'ingénieur de l'École nationale supérieure des sciences appliquées et de technologie de Lannion de l'université de Rennes spécialité photonique     Diplôme d'ingénieur de l'École nationale supérieure des sciences appliquées et de technologie de Lannion de l'université de Rennes spécialité photonique et électronique en partenariat avec l'ITII Bretagne     Diplôme d'ingénieur de l'École polytechnique universitaire de l'université Paris-Saclay spécialité photonique     Diplôme d'ingénieur de l'École polytechnique universitaire de l'université Paris-Saclay spécialité photonique en partenariat avec l'ITII Ile de France     Master mention électronique, énergie électrique, automatique     Master mention optique, image, vision, multimédia",Aucune spécialité indispensable,Mathématiques,"Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
Poseur de voies ferrées,Les études  Après la 3e2 ans pour préparer un CAP ou 3 ans pour préparer un bac professionnel du domaine des travaux publics. Il existe aussi un CQP (certificat de qualification professionnelle) poseur de voies ferrées.    CAP ou équivalent    CAP Constructeur d'ouvrages en béton armé     CAP constructeur de routes et d'aménagements urbains     CAP Métallier     CAP Réalisations industrielles en chaudronnerie ou soudage option B soudage,Aucune spécialité indispensable,"Aucune spécialité indispensable, possibles : Arts, Biologie-écologie, Histoire-géographie, géopolitique et sciences politiques","Aucune spécialité indispensable, possibles : S2TMD Sciences et techniques du théâtre, de la musique et de la danse, ST2S Sciences et technologies de la santé et du social, STAV Sciences et technologies de l'agronomie et du vivant"
